"","Date","bitcoin_price","bitcoin_ma5","bitcoin_ma30","bitcoin_ma180","bitcoin_perdict","bitcoin_perdict_ma5","bitcoin_perdict_ma30","bitcoin_perdict_ma180","gold_price","gold_ma5","gold_ma30","gold_ma180","gold_perdict","gold_perdict_ma5","gold_perdict_ma30","gold_perdict_ma180"
"19","2016/9/29",603.85,607.938,611.008,NA,619.65,619.05,616.65,NA,1318.1,1320.68,NA,NA,1324.6,1324.6,NA,NA
"20","2016/9/30",609.39,609.342,611.926666666667,NA,619.65,618.05,616.183333333333,NA,1322.5,1311.94,1294.45,NA,1324.6,1324.6,1316.5,NA
"21","2016/10/1",614.82,610.578,613.003666666667,NA,616.65,616.85,615.716666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016/10/2",612.98,611.732,614.068,NA,614.65,615.45,615.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016/10/3",611.85,611.29,614.891666666667,NA,613.65,614.05,614.783333333333,NA,1313.3,1301.32,1292.48166666667,NA,1324.6,1322,1315.96666666667,NA
"24","2016/10/4",609.62,610.742,615.527,NA,612.65,613.25,614.316666666667,NA,1283.3,1288.6,1290.67333333333,NA,1324.6,1317,1315.43333333333,NA
"25","2016/10/5",607.18,611.588,616.162333333333,NA,612.65,612.65,613.85,NA,1269.4,1275.85,1288.965,NA,1311.6,1312.6,1314.96666666667,NA
"26","2016/10/6",612.08,612.166,617.263666666667,NA,612.65,612.25,613.45,NA,1254.5,1265.09,1287.48,NA,1299.6,1309.4,1314.4,NA
"27","2016/10/7",617.21,613.372,619.199,NA,611.65,612.05,613.05,NA,1258.75,1259.12,1286.30166666667,NA,1302.6,1305,1313.76666666667,NA
"28","2016/10/8",614.74,615.444,621.171333333333,NA,611.65,611.85,612.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016/10/9",615.65,615.982,622.755,NA,611.65,611.65,612.216666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016/10/10",617.54,619.542,624.540666666667,NA,611.65,611.65,611.783333333333,NA,1259.5,1256.54,1284.87333333333,NA,1308.6,1303.4,1313.13333333333,NA
"31","2016/10/11",614.77,623.786,626.289666666667,NA,611.65,610.85,611.283333333333,NA,1253.45,1257.85,1284.02833333333,NA,1302.6,1304.8,1312.5,NA
"32","2016/10/12",635.01,627.46,628.831666666667,NA,611.65,610.05,610.883333333333,NA,1256.5,1256.45,1283.28333333333,NA,1303.6,1305.8,1311.86666666667,NA
"33","2016/10/13",635.96,631.54,631.565333333333,NA,607.65,609.25,610.383333333333,NA,1261.05,1255.51,1282.01333333333,NA,1306.6,1304.4,1311.26666666667,NA
"34","2016/10/14",634.02,636.87,634.300666666667,NA,607.65,608.45,609.883333333333,NA,1251.75,1256.46,1280.81833333333,NA,1307.6,1304.4,1310.46666666667,NA
"35","2016/10/15",637.94,637.662,637.254333333333,NA,607.65,607.65,609.383333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2016/10/16",641.42,637.728,640.160333333333,NA,607.65,607.65,608.983333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016/10/17",638.97,636.774,642.961333333333,NA,607.65,607.65,608.65,NA,1254.8,1258.97,1278.90333333333,NA,1301.6,1305,1309.43333333333,NA
"38","2016/10/18",636.29,634.73,647.010666666667,NA,607.65,607.65,608.35,NA,1258.2,1261.09,1277.415,NA,1302.6,1306.6,1308.06666666667,NA
"39","2016/10/19",629.25,632.83,649.562333333333,NA,607.65,607.65,608.083333333333,NA,1269.05,1263.95,1276.045,NA,1306.6,1306.8,1306.63333333333,NA
"40","2016/10/20",627.72,636.132,652.112666666667,NA,607.65,607.65,608.683333333333,NA,1271.65,1266.1,1274.35833333333,NA,1314.6,1308.2,1304.9,NA
"41","2016/10/21",631.92,639.524,655.203,NA,607.65,607.65,609.45,NA,1266.05,1268.34,1271.49,NA,1308.6,1309.4,1303,NA
"42","2016/10/22",655.48,643.952,658.362666666667,NA,607.65,607.65,609.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2016/10/23",653.25,649.47,661.536666666667,NA,607.65,607.65,609.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2016/10/24",651.39,653.376,664.647333333333,NA,607.65,607.65,609.783333333333,NA,1265.55,1268.63,1268.16666666667,NA,1308.6,1310.2,1301.1,NA
"45","2016/10/25",655.31,658.724,668.093666666667,NA,607.65,607.65,610.116666666667,NA,1269.4,1267.55,1266.28833333333,NA,1308.6,1308.8,1299.1,NA
"46","2016/10/26",651.45,665.61,671.651333333333,NA,607.65,607.05,610.416666666667,NA,1270.5,1268.94,1264.94833333333,NA,1310.6,1308.2,1297.63333333333,NA
"47","2016/10/27",682.22,672.514,674.332666666667,NA,607.65,606.45,610.716666666667,NA,1266.25,1270.23,1264.02333333333,NA,1307.6,1307.6,1296.56666666667,NA
"48","2016/10/28",687.68,681.052,676.591,NA,604.65,605.85,611.283333333333,NA,1273,1274.04,1262.43166666667,NA,1305.6,1307,1295.4,NA
"49","2016/10/29",685.91,691.162,678.866333333333,NA,604.65,605.25,612.083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2016/10/30",698,694.12,681.150333333333,NA,604.65,604.65,613.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2016/10/31",702,703.25,683.466666666667,NA,604.65,604.65,614.05,NA,1272,1280.69,1260.92333333333,NA,1305.6,1306,1294.03333333333,NA
"52","2016/11/1",697.01,703.302,685.892,NA,604.65,604.65,615.05,NA,1288.45,1287.64,1259.55,NA,1305.6,1305.8,1292.86666666667,NA
"53","2016/11/2",733.33,700.44,689.247666666667,NA,604.65,609.85,616.05,NA,1303.75,1293.6,1257.17833333333,NA,1305.6,1304.8,1291.66666666667,NA
"54","2016/11/3",686.17,700.998,693.19,NA,604.65,616.05,616.883333333333,NA,1301,1295.81,1254.68,NA,1306.6,1302.4,1290.36666666667,NA
"55","2016/11/4",683.69,703.996,697.232,NA,630.65,618.05,617.55,NA,1302.8,1294.59,1252.545,NA,1300.6,1298,1289.03333333333,NA
"56","2016/11/5",704.79,699.322,700.47,NA,635.65,620.05,618.216666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2016/11/6",712,703.882,703.238333333333,NA,614.65,622.25,619.016666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2016/11/7",709.96,711.33,706.029,NA,614.65,620.45,619.95,NA,1283.05,1290.12,1250.285,NA,1293.6,1293.2,1287.9,NA
"59","2016/11/8",708.97,714.672,709.037,NA,615.65,617.45,620.916666666667,NA,1282.35,1283.42,1247.89666666667,NA,1283.6,1286.4,1286.73333333333,NA
"60","2016/11/9",720.93,715.362,711.775,NA,621.65,618.65,621.95,NA,1281.4,1270.15,1244.865,NA,1281.6,1279.8,1285.43333333333,NA
"61","2016/11/10",721.5,714.112,714.581333333333,NA,620.65,620.65,623.05,NA,1267.5,1256.26,1241.205,NA,1272.6,1274.6,1283.86666666667,NA
"62","2016/11/11",715.45,712.774,716.296333333333,NA,620.65,623.85,624.25,NA,1236.45,1245.18,1238.12,NA,1267.6,1270.8,1282.5,NA
"63","2016/11/12",703.71,709.88,717.639,NA,624.65,626.85,625.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2016/11/13",702.28,707.762,719.019,NA,631.65,630.25,627.183333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2016/11/14",706.46,707.018,720.176,NA,636.65,633.65,628.816666666667,NA,1213.6,1234.74,1234.675,NA,1267.6,1268,1281.13333333333,NA
"66","2016/11/15",710.91,713.668,721.532333333333,NA,637.65,636.25,630.483333333333,NA,1226.95,1226.59,1231.445,NA,1264.6,1267,1279.76666666667,NA
"67","2016/11/16",711.73,722.716,723.033666666667,NA,637.65,636.45,632.15,NA,1229.2,1221.5,1228.35,NA,1267.6,1267,1278.33333333333,NA
"68","2016/11/17",736.96,731.22,724.337,NA,637.65,634.65,633.816666666667,NA,1226.75,1221.63,1225.17666666667,NA,1267.6,1267,1277,NA
"69","2016/11/18",747.52,734.85,726.942333333333,NA,632.65,632.65,635.283333333333,NA,1211,1218.69,1221.53,NA,1267.6,1267.6,1275.73333333333,NA
"70","2016/11/19",748.98,740.21,729.585,NA,627.65,631.45,635.883333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2016/11/20",729.06,740.212,731.246333333333,NA,627.65,631.05,636.316666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2016/11/21",738.53,739.034,732.733666666667,NA,631.65,631.85,637.55,NA,1214.25,1209.92,1217.66666666667,NA,1267.6,1267.6,1274.46666666667,NA
"73","2016/11/22",736.97,736.728,734.368,NA,635.65,634.05,638.85,NA,1212.25,1201.79,1213.33666666667,NA,1267.6,1267.6,1273.2,NA
"74","2016/11/23",741.63,738.044,736.393,NA,636.65,636.65,640.183333333333,NA,1185.35,1197.13,1208.62,NA,1267.6,1267.6,1271.93333333333,NA
"75","2016/11/24",737.45,737.072,738.029333333333,NA,638.65,639.05,641.316666666667,NA,1186.1,1191.68,1202.81833333333,NA,1267.6,1267.6,1270.63333333333,NA
"76","2016/11/25",735.64,735.27,739.615333333333,NA,640.65,641.25,642.483333333333,NA,1187.7,1186.54,1197.11166666667,NA,1267.6,1267.6,1269.53333333333,NA
"77","2016/11/26",733.67,732.406,741.667,NA,643.65,644.05,643.683333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2016/11/27",727.96,731.458,744.11,NA,646.65,647.05,644.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","2016/11/28",727.31,732.868,746.633666666667,NA,650.65,649.85,645.583333333333,NA,1187,1185.09,1192.21833333333,NA,1267.6,1267.6,1268.66666666667,NA
"80","2016/11/29",732.71,734.544,748.914666666667,NA,653.65,652.05,646.283333333333,NA,1186.55,1180.24,1186.99666666667,NA,1267.6,1267.6,1268.13333333333,NA
"81","2016/11/30",742.69,743.438,751.109333333333,NA,654.65,653.65,647.016666666667,NA,1178.1,1177.4,1182.07166666667,NA,1267.6,1267.6,1267.66666666667,NA
"82","2016/12/1",742.05,750.842,753.247666666667,NA,654.65,653.25,647.816666666667,NA,1161.85,1172.44,1177.53333333333,NA,1267.6,1267.6,1267.5,NA
"83","2016/12/2",772.43,756.894,754.972333333333,NA,654.65,652.25,648.683333333333,NA,1173.5,1169.63,1174.13833333333,NA,1267.6,1267.6,1267.5,NA
"84","2016/12/3",764.33,759.282,756.335,NA,648.65,651.05,649.716666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2016/12/4",762.97,762.196,757.658,NA,648.65,650.45,650.916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","2016/12/5",754.63,759.508,759.792333333333,NA,648.65,650.25,652.15,NA,1162.2,1169.54,1171.88166666667,NA,1267.6,1267.6,1267.5,NA
"87","2016/12/6",756.62,760.586,762.648333333333,NA,651.65,651.65,653.25,NA,1172.5,1171.38,1169.35,NA,1267.6,1267.6,1267.6,NA
"88","2016/12/7",758.99,761.996,765.915,NA,653.65,653.05,654.016666666667,NA,1177.65,1169.4,1167.185,NA,1267.6,1267.6,1267.6,NA
"89","2016/12/8",769.72,764.886,771.237666666667,NA,655.65,654.45,654.616666666667,NA,1171.05,1168.18,1165.51666666667,NA,1267.6,1267.6,1267.6,NA
"90","2016/12/9",770.02,768.962,776.376333333333,823.040545705555,655.65,655.45,654.983333333333,716.333333333333,1163.6,1165.39,1164.345,NA,1267.6,1267.6,1267.6,NA
"91","2016/12/10",769.08,772.564,781.608333333333,826.209656816667,655.65,656.05,655.483333333333,717.55,NA,NA,NA,NA,NA,NA,NA,NA
"92","2016/12/11",777,774.218,787.063666666667,829.373489455556,656.65,656.25,655.816666666667,718.694444444444,NA,NA,NA,NA,NA,NA,NA,NA
"93","2016/12/12",777,775.192,793.810666666667,832.798904038889,656.65,656.65,656.083333333333,719.811111111111,1156.1,1162.31,1163.15333333333,NA,1267.6,1267.6,1267.6,NA
"94","2016/12/13",777.99,776.726,800.578333333333,836.23701515,656.65,657.45,656.15,720.905555555556,1158.55,1153.49,1162.395,NA,1267.6,1267.6,1267.6,NA
"95","2016/12/14",774.89,776.502,808.267333333333,839.764741738889,657.65,658.45,656.316666666667,722.044444444444,1162.25,1147.09,1162.16833333333,NA,1267.6,1267.6,1267.6,NA
"96","2016/12/15",776.75,778.842,815.249333333333,843.366350766667,659.65,659.85,656.316666666667,723.238888888889,1126.95,1143.12,1162.8,NA,1267.6,1267.6,1267.6,NA
"97","2016/12/16",775.88,780.924,822.451666666667,846.977239655556,661.65,661.25,656.65,724.477777777778,1131.6,1136.55,1162.88833333333,NA,1267.6,1267.6,1267.6,NA
"98","2016/12/17",788.7,783.68,829.961333333333,849.641639033333,663.65,662.45,656.883333333333,725.75,NA,NA,NA,NA,NA,NA,NA,NA
"99","2016/12/18",788.4,786.948,838.349333333333,851.541874380556,663.65,663.45,657.316666666667,727.172222222222,NA,NA,NA,NA,NA,NA,NA,NA
"100","2016/12/19",788.67,796.614,846.697666666667,853.536485491667,663.65,664.05,657.75,728.594444444444,1136.25,1130.83,1163.42166666667,NA,1267.6,1267.6,1267.6,NA
"101","2016/12/20",793.09,805.868,859.102,856.037621536111,664.65,663.05,658.183333333333,730.055555555556,1125.7,1131.71,1164.405,NA,1267.6,1267.6,1267.6,NA
"102","2016/12/21",824.21,828.45,867.037,858.933232886111,664.65,661.25,658.516666666667,731.516666666667,1133.65,1132.31,1165.62666666667,NA,1267.6,1267.6,1267.6,NA
"103","2016/12/22",834.97,849.038,875.059,861.816121775,658.65,658.45,661.25,732.977777777778,1131.35,1134.24,1166.76666666667,NA,1267.6,1267.6,1267.6,NA
"104","2016/12/23",901.31,868.94,879.296,864.232282886111,654.65,656.65,665.016666666667,734.433333333333,NA,NA,NA,NA,NA,NA,NA,NA
"105","2016/12/24",891.61,883.564,883.9,866.122170187778,649.65,654.45,670.583333333333,735.888888888889,NA,NA,NA,NA,NA,NA,NA,NA
"106","2016/12/25",892.6,902.644,888.613666666667,867.949670187778,655.65,653.65,676.483333333333,737.333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"107","2016/12/26",897.33,908.45,892.915333333333,869.898705257222,653.65,653.25,682.35,738.794444444444,NA,NA,NA,NA,NA,NA,NA,NA
"108","2016/12/27",930.37,922.804,893.189333333333,872.296256646111,654.65,655.05,688.216666666667,740.255555555556,NA,NA,NA,NA,NA,NA,NA,NA
"109","2016/12/28",930.34,934.714,893.287,874.725089979444,652.65,654.85,695.45,741.716666666667,1134.6,1139.3,1167.66833333333,NA,1267.6,1267.6,1267.6,NA
"110","2016/12/29",963.38,946.872,895.000333333333,877.120564979444,658.65,657.05,701.55,743.177777777778,1145.9,1145.42,1169.35666666667,NA,1267.6,1267.6,1267.6,NA
"111","2016/12/30",952.15,960.342,896.372333333333,879.471034701667,654.65,658.45,708.316666666667,744.655555555556,NA,NA,NA,NA,NA,NA,NA,NA
"112","2016/12/31",958.12,977.468,897.828,881.814145812778,664.65,660.25,715.016666666667,746.144444444444,NA,NA,NA,NA,NA,NA,NA,NA
"113","2017/1/1",997.72,987.476,899.221333333333,884.453476762778,661.65,660.85,722.016666666667,747.638888888889,NA,NA,NA,NA,NA,NA,NA,NA
"114","2017/1/2",1015.97,1022.398,903.069333333333,887.173194123889,661.65,662.25,729.05,749.138888888889,NA,NA,NA,NA,NA,NA,NA,NA
"115","2017/1/3",1013.42,1029.708,907.000333333333,889.799916346111,661.65,661.65,735.883333333333,750.638888888889,1151,1154.49,1170.83333333333,NA,1267.6,1267.6,1267.6,NA
"116","2017/1/4",1126.76,1030.094,910.4239625,892.741696140556,661.65,676.45,742.916666666667,752.138888888889,1164.25,1162.74,1171.41166666667,NA,1267.6,1267.6,1267.6,NA
"117","2017/1/5",994.67,1006.266,912.737665416667,895.607636773889,661.65,697.85,749.983333333333,753.644444444444,1176.7,1169.26,1172.03333333333,NA,1267.6,1267.6,1267.6,NA
"118","2017/1/6",999.65,985.21,914.75999875,898.489803440556,735.65,730.05,757.416666666667,755.15,1175.85,1176.96,1172.74166666667,NA,1267.6,1267.6,1267.6,NA
"119","2017/1/7",896.83,941.956,915.336452916667,901.683160385,768.65,764.25,765.05,756.655555555556,NA,NA,NA,NA,NA,NA,NA,NA
"120","2017/1/8",908.14,924.232,916.351906666667,904.814326151667,822.65,798.45,772.85,758.161111111111,NA,NA,NA,NA,NA,NA,NA,NA
"121","2017/1/9",910.49,881.346,917.26424,907.976881707222,832.65,817.85,780.55,759.666666666667,1178.5,1179.82,1173.965,NA,1267.6,1267.6,1267.6,NA
"122","2017/1/10",906.05,858.164,917.1214275,911.158742123889,832.65,838.85,788.383333333333,761.172222222222,1189.5,1185.49,1175.77333333333,NA,1267.6,1267.6,1267.6,NA
"123","2017/1/11",785.22,841.794,916.640969166667,914.440170112778,832.65,842.45,796.45,762.7,1178.55,1188.39,1177.15333333333,NA,1267.6,1267.6,1267.6,NA
"124","2017/1/12",780.92,823.278,916.1313025,917.690559001667,873.65,848.45,804.516666666667,764.227777777778,1205.05,1193.29,1180.32,NA,1267.6,1267.6,1267.6,NA
"125","2017/1/13",826.29,805.978,914.695710833333,920.702135185,840.65,854.45,812.616666666667,765.755555555556,1190.35,1198.6,1183.10666666667,NA,1267.6,1267.6,1267.6,NA
"126","2017/1/14",817.91,815.034,913.4884775,923.723468835,862.65,862.65,820.85,767.283333333333,NA,NA,NA,NA,NA,NA,NA,NA
"127","2017/1/15",819.55,839.618,911.9574775,926.675635501667,862.65,862.85,828.983333333333,768.811111111111,NA,NA,NA,NA,NA,NA,NA,NA
"128","2017/1/16",830.5,855.68,910.857013333333,929.734732240556,873.65,868.45,837.283333333333,770.338888888889,1203,1205.84,1186.12333333333,NA,1267.6,1267.6,1267.6,NA
"129","2017/1/17",903.84,871.257775,909.6481425,932.936870435,874.65,871.05,845.416666666667,771.866666666667,1216.05,1204.04,1189.63333333333,NA,1267.6,1267.6,1267.6,NA
"130","2017/1/18",906.6,886.0719925,908.6481425,935.988259323889,868.65,873.85,853.583333333333,773.394444444444,1214.75,1206.08,1193.24833333333,NA,1267.6,1267.6,1267.6,NA
"131","2017/1/19",895.798875,899.0999925,904.8570425,939.243870923889,875.65,875.45,861.683333333333,774.922222222222,1196.05,1208.05,1196.76333333333,NA,1267.6,1267.6,1267.6,NA
"132","2017/1/20",893.6210875,902.0527175,906.068022933333,942.500572729444,876.65,877.25,869.65,776.45,1200.55,1208.2,1199.88666666667,1236.69722222222,1267.6,1267.6,1267.6,1278.23333333333
"133","2017/1/21",895.64,905.14744,907.215356266667,945.741572729444,881.65,880.25,875.05,777.977777777778,NA,NA,NA,NA,NA,NA,NA,NA
"134","2017/1/22",918.603625,909.981665,911.4548146,949.130023979444,883.65,882.45,879.283333333333,779.505555555556,NA,NA,NA,NA,NA,NA,NA,NA
"135","2017/1/23",922.0736125,909.8665725,916.187147933333,952.478235718333,883.65,884.85,881.716666666667,781.033333333333,1212.85,1204.25,1202.43166666667,1236.42138888889,1267.6,1267.6,1267.6,1277.91666666667
"136","2017/1/24",919.97,913.9298225,920.932147933333,955.752624607222,886.65,887.85,883.616666666667,782.561111111111,1216.8,1202.98,1205.09,1236.17861111111,1267.6,1267.6,1267.6,1277.6
"137","2017/1/25",893.045625,913.2190975,923.267247933333,959.070372873889,888.65,890.05,885.516666666667,784.088888888889,1195,1199.84,1207.095,1236.02166666667,1267.6,1267.6,1267.6,1277.28333333333
"138","2017/1/26",915.95625,912.866825,930.396697933333,962.522761068333,896.65,893.65,887.716666666667,785.633333333333,1189.7,1195.83,1209.22333333333,1235.91166666667,1267.6,1267.6,1267.6,1276.96666666667
"139","2017/1/27",915.05,912.059425,937.619031266667,965.867816623889,894.65,896.65,888.35,787.177777777778,1184.85,1195.03,1211.42666666667,1235.71583333333,1267.6,1267.6,1267.6,1276.65
"140","2017/1/28",920.31225,915.8883,943.429518766667,969.386119007222,901.65,900.65,890.316666666667,788.722222222222,NA,NA,NA,NA,NA,NA,NA,NA
"141","2017/1/29",915.933,925.638265,949.495097933333,972.902669218333,901.65,903.45,891.483333333333,790.266666666667,NA,NA,NA,NA,NA,NA,NA,NA
"142","2017/1/30",912.19,938.56904,955.550097933333,976.435946996111,908.65,905.65,892.816666666667,791.811111111111,1192.8,1196.76,1213.38666666667,1235.4475,1267.6,1267.6,1267.6,1276.33333333333
"143","2017/1/31",964.706075,951.19059,961.6109642,980.235073735,910.65,906.65,893.783333333333,793.355555555556,1212.8,1203.21,1214.84333333333,1235.18416666667,1267.6,1267.6,1267.6,1276.01666666667
"144","2017/2/1",979.703875,970.60939,965.9899017,984.490108668333,905.65,907.25,894.75,794.9,1203.65,1209.28,1216.78,1234.82805555556,1267.6,1267.6,1267.6,1275.7
"145","2017/2/2",983.42,994.3712726,970.276568366667,988.733775335,906.65,905.65,895.816666666667,796.3,1221.95,1216.07,1218.20833333333,1234.47472222222,1267.6,1267.6,1267.6,1275.38333333333
"146","2017/2/3",1013.027,1008.2440576,975.6378438,993.197676029444,904.65,903.05,896.716666666667,797.672222222222,1215.2,1219.71,1220.31833333333,1234.0075,1267.6,1267.6,1267.6,1275.06666666667
"147","2017/2/4",1030.999413,1017.1060326,980.943117083333,997.760648646111,900.65,901.05,897.416666666667,799.161111111111,NA,NA,NA,NA,NA,NA,NA,NA
"148","2017/2/5",1034.07,1030.4440326,986.117450416667,1002.25392642389,897.65,898.85,898.016666666667,800.65,NA,NA,NA,NA,NA,NA,NA,NA
"149","2017/2/6",1024.01375,1038.4066326,992.956943883333,1006.847806585,895.65,895.85,898.483333333333,802.133333333333,1226.75,1227.4,1222.125,1233.53472222222,1267.6,1267.6,1267.6,1274.75
"150","2017/2/7",1050.11,1027.42735,999.661929733333,1011.95719116833,895.65,893.65,898.55,803.583333333333,1231,1230.37,1223.44333333333,1233.09666666667,1267.6,1267.6,1267.6,1274.43333333333
"151","2017/2/8",1052.84,1020.43405,1006.66326306667,1017.12163561278,889.65,893.85,898.516666666667,805.038888888889,1242.1,1232.99,1224.29833333333,1232.65055555556,1267.6,1267.6,1267.6,1274.11666666667
"152","2017/2/9",976.103,1015.1493,1016.0572839,1022.94072589056,889.65,893.25,898.15,806.494444444444,1236.8,1232.09,1225.7,1232.23055555556,1267.6,1267.6,1267.6,1273.8
"153","2017/2/10",999.1035,1005.248225,1023.8789327,1029.14784012944,898.65,894.05,897.283333333333,807.927777777778,1228.3,1232.04,1226.565,1231.83222222222,1267.6,1267.6,1267.6,1273.48333333333
"154","2017/2/11",997.59,994.6557,1031.7229327,1035.407395685,892.65,895.65,896.483333333333,809.322222222222,NA,NA,NA,NA,NA,NA,NA,NA
"155","2017/2/12",1000.604625,999.6751,1040.73758936667,1041.32661797944,899.65,898.25,895.25,810.722222222222,NA,NA,NA,NA,NA,NA,NA,NA
"156","2017/2/13",999.877375,1002.3195976,1049.7919989,1047.24554297944,897.65,899.05,893.783333333333,812.116666666667,1222.25,1228.5,1227.16833333333,1231.51222222222,1267.6,1267.6,1267.6,1273.16666666667
"157","2017/2/14",1001.2,1009.8432226,1059.0819989,1053.18037631278,902.65,901.25,892.016666666667,813.511111111111,1230.75,1229.25,1227.16333333333,1231.30083333333,1267.6,1267.6,1267.6,1272.85
"158","2017/2/15",1012.325988,1016.7622976,1068.9054903,1058.74744284056,902.65,901.45,890.016666666667,814.905555555556,1224.4,1231.98,1227.63666666667,1231.19055555556,1267.6,1267.6,1267.6,1272.60555555556
"159","2017/2/16",1035.208125,1028.1142502,1079.08669446667,1064.636137635,903.65,902.45,887.883333333333,816.366666666667,1240.55,1234.99,1228.19833333333,1231.15444444444,1267.6,1267.6,1267.6,1272.42777777778
"160","2017/2/17",1035.2,1038.4301074,1089.2060278,1070.386137635,900.65,901.45,885.716666666667,817.855555555556,1241.95,1235.48,1228.79166666667,1231.06972222222,1267.6,1267.6,1267.6,1272.23333333333
"161","2017/2/18",1056.637138,1046.1389098,1097.80290446667,1077.23314034611,902.65,900.85,883.55,819.344444444444,NA,NA,NA,NA,NA,NA,NA,NA
"162","2017/2/19",1052.779286,1063.8549706,1105.94283653333,1084.53525027944,897.65,899.65,881.516666666667,820.811111111111,NA,NA,NA,NA,NA,NA,NA,NA
"163","2017/2/20",1050.87,1081.4596082,1114.12383653333,1091.60119472389,899.65,896.65,879.483333333333,822.333333333333,1237.3,1237.93,1229.17166666667,1230.97388888889,1267.6,1267.6,1267.6,1272.00555555556
"164","2017/2/21",1123.788429,1096.1341806,1118.56982153333,1099.095818685,897.65,893.25,877.516666666667,823.85,1233.2,1239.4,1228.89833333333,1230.83944444444,1267.6,1267.6,1267.6,1271.81111111111
"165","2017/2/22",1123.223188,1120.5515734,1123.3151263,1107.70837584056,885.65,889.25,876.016666666667,825.355555555556,1236.65,1241.74,1228.73666666667,1230.6575,1267.6,1267.6,1267.6,1271.61111111111
