Date,bitcoin,gold
2017/8/17,4328.725717,1285.15
2017/8/18,4130.440067,1295.8
2017/8/19,4104.71,NA
2017/8/20,4157.958033,NA
2017/8/21,4043.722,1292.9
2017/8/22,3986.28,1284.2
2017/8/23,4174.95,1286.65
2017/8/24,4340.316717,1289
2017/8/25,4331.77,1285.3
2017/8/26,4360.513317,NA
2017/8/27,4354.308333,NA
2017/8/28,4339.05,NA
2017/8/29,4607.98545,1318.65
2017/8/30,4594.98785,1308.5
2017/8/31,4582.52,1311.75
2017/9/1,4911.740017,1320.4
2017/9/2,4580.38748,NA
2017/9/3,4585.57,NA
2017/9/4,4344.098317,1333.1
2017/9/5,4488.72014,1335.55
2017/9/6,4385.02,1337.85
2017/9/7,4654.6585,1343.5
2017/9/8,4310.750183,1346.25
2017/9/9,4312.26,NA
2017/9/10,4329.955,NA
2017/9/11,4248.090017,1334.2
2017/9/12,4198.59,1326.5
2017/9/13,3961.271267,1327.55
2017/9/14,3319.63,1324.55
2017/9/15,3216.43,1322.85
2017/9/16,3763.62604,NA
2017/9/17,3746.060783,NA
2017/9/18,3678.53,1312.1
2017/9/19,3943.413333,1309.6
2017/9/20,3977.561667,1311.3
2017/9/21,3894.48,1292.1
2017/9/22,3637.50255,1294.8
2017/9/23,3776.3869,NA
2017/9/24,3777.62,NA
2017/9/25,3942.555,1293.3
2017/9/26,3910.307383,1300.05
2017/9/27,3881,1282.55
2017/9/28,4201.98905,1283.35
2017/9/29,4193.574667,1283.1
2017/9/30,4164.27,NA
2017/10/1,4360.722967,NA
2017/10/2,4386.88375,1273.7
2017/10/3,4394.07,1271.25
2017/10/4,4225.175,1274.25
2017/10/5,4338.852,1274.5
2017/10/6,4318.58,1261.8
2017/10/7,4376.191667,NA
2017/10/8,4602.280883,NA
2017/10/9,4605.66,1278.75
2017/10/10,4782.28,1291.4
2017/10/11,4819.485767,1289.25
2017/10/12,4822.17,1290.25
2017/10/13,5563.806567,1299.6
2017/10/14,5739.438733,NA
2017/10/15,5825.99,NA
2017/10/16,5711.205867,1303.3
2017/10/17,5603.71294,1284.75
2017/10/18,5594.66,1280.2
2017/10/19,5727.6335,1286.4
2017/10/20,5979.45984,1281.2
2017/10/21,5986.44,NA
2017/10/22,5983.18455,NA
2017/10/23,5876.079867,1274.9
2017/10/24,5900.59,1276.45
2017/10/25,5669.622533,1275
2017/10/26,5893.138417,1273.75
2017/10/27,5889.82,1266.45
2017/10/28,5776.69695,NA
2017/10/29,6155.43402,NA
2017/10/30,6136.49,1272
2017/10/31,6388.645167,1270.15
2017/11/1,6665.306683,1277.05
2017/11/2,6751.98,1279.2
2017/11/3,7197.72006,1267.2
2017/11/4,7437.543317,NA
2017/11/5,7365.99,NA
2017/11/6,6989.071667,1270.9
2017/11/7,7092.127233,1275.6
2017/11/8,7128.64,1284
2017/11/9,7158.03706,1284.8
2017/11/10,6719.39785,1284.3
2017/11/11,6569.22,NA
2017/11/12,5716.301583,NA
2017/11/13,6550.227533,1277.95
2017/11/14,6493.63,1274.6
2017/11/15,7301.42992,1282.2
2017/11/16,7815.0307,1280
2017/11/17,7868.77,1284.35
2017/11/18,7817.140383,NA
2017/11/19,8007.654067,NA
2017/11/20,8049.72,1286.2
2017/11/21,8059.8,1283.3
2017/11/22,8268.035,1286.95
2017/11/23,8236.72,1290.35
2017/11/24,8250.978333,1290.5
2017/11/25,8707.407267,NA
2017/11/26,8768.8,NA
2017/11/27,9718.29505,1294.9
2017/11/28,9952.50882,1291.85
2017/11/29,9919,1283.85
2017/11/30,10147.372,1280.2
2017/12/1,10883.912,1275.5
2017/12/2,10879.88,NA
2017/12/3,11332.622,NA
2017/12/4,11584.83,1273.45
2017/12/5,11591.22,1266.3
2017/12/6,13540.98,1263.7
2017/12/7,16501.97167,1255
2017/12/8,16860.88,1250.65
2017/12/9,15142.83415,NA
2017/12/10,14869.805,NA
2017/12/11,15068.95,1247.15
2017/12/12,17276.39333,1240.9
2017/12/13,16808.36667,1242.65
2017/12/14,16252.31,1251
2017/12/15,17771.9,1254.6
2017/12/16,19498.68333,NA
2017/12/17,19279.9,NA
2017/12/18,18961.85667,1260.6
2017/12/19,17737.11167,1260.35
2017/12/20,17382.94,1264.55
2017/12/21,16047.51,1264.55
2017/12/22,15190.945,NA
2017/12/23,13776.61,NA
2017/12/24,13949.175,NA
2017/12/25,14119.02833,NA
2017/12/26,13740.94,NA
2017/12/27,15589.32167,1279.4
2017/12/28,14380.58167,1291
2017/12/29,14214.01,NA
2017/12/30,13215.574,NA
2017/12/31,14165.575,NA
2018/1/1,13796,NA
2018/1/2,15005.85667,1312.05
2018/1/3,15053.26167,1314.9
2018/1/4,15039.24,1314.5
2018/1/5,17174.12,1317.15
2018/1/6,17319.198,NA
2018/1/7,17155.95,NA
2018/1/8,15265.90667,1319.95
2018/1/9,14714.25333,1311
2018/1/10,14437.42,1319.75
2018/1/11,13296.794,1323.05
2018/1/12,13912.882,1326.8
2018/1/13,13791.19,NA
2018/1/14,13852.92,NA
2018/1/15,14012.196,1339.25
2018/1/16,13554.14,1333.85
2018/1/17,11116.94667,1335.65
2018/1/18,11345.42333,1332.2
2018/1/19,11174.82,1334.95
2018/1/20,12950.79333,NA
2018/1/21,11505.228,NA
2018/1/22,11513.42,1332.6
2018/1/23,11223.064,1333.4
2018/1/24,11282.25833,1353.7
2018/1/25,11392.03,1354.95
2018/1/26,10969.815,1353.15
2018/1/27,11524.77667,NA
2018/1/28,11431.37,NA
2018/1/29,11212.655,1343.85
2018/1/30,10184.06167,1344.9
2018/1/31,10082.52,1345.05
2018/2/1,9083.258333,1341.35
2018/2/2,8901.901667,1331.15
2018/2/3,8852.73,NA
2018/2/4,8400.648333,NA
2018/2/5,6838.816667,1333.6
2018/2/6,6925.46,1331.4
2018/2/7,8099.958333,1324.65
2018/2/8,8240.536667,1315.45
2018/2/9,8245.08,1314.1
2018/2/10,8319.876566,NA
2018/2/11,8343.455,NA
2018/2/12,8068.02,1322.3
2018/2/13,8597.7675,1325.35
2018/2/14,9334.633333,1336.25
2018/2/15,9471.64,1352.45
2018/2/16,10127.16167,1352.1
2018/2/17,10841.99167,NA
2018/2/18,11085.83,NA
2018/2/19,11110.965,1346.6
2018/2/20,11390.39167,1339.85
2018/2/21,11245.98,1330.5
2018/2/22,9931.071667,1328.35
2018/2/23,10162.11667,1327.95
2018/2/24,10171.3,NA
2018/2/25,9696.593333,NA
2018/2/26,10348.60333,1333.5
2018/2/27,10319.46,1325.75
2018/2/28,10370.165,1317.85
2018/3/1,11009.38167,1307.75
2018/3/2,10931.12,1322.3
2018/3/3,11326.94833,NA
2018/3/4,11430.18167,NA
2018/3/5,11516.83,1320.4
2018/3/6,10763.19833,1331.4
2018/3/7,10118.058,1329.4
2018/3/8,9920.46,1321
2018/3/9,9089.278333,1320.6
2018/3/10,8746.002,NA
2018/3/11,8777.37,NA
2018/3/12,9182.843333,1319.15
2018/3/13,9154.7,1322.75
2018/3/14,9153.54,1323.55
2018/3/15,8358.121667,1318.75
2018/3/16,8530.402,1310.1
2018/3/17,8297.89,NA
2018/3/18,8171.415,NA
2018/3/19,8412.033333,1312.4
2018/3/20,8605.64,1311
2018/3/21,8947.753333,1321.35
2018/3/22,8690.408333,1329.15
2018/3/23,8725.37,1346.6
2018/3/24,8662.378333,NA
2018/3/25,8617.296667,NA
2018/3/26,8457.96,1352.4
2018/3/27,7876.195,1341.45
2018/3/28,7960.38,1332.45
2018/3/29,7950.61,1323.85
2018/3/30,6882.531667,NA
2018/3/31,6935.48,NA
2018/4/1,6937.56,NA
2018/4/2,7035.848333,NA
2018/4/3,7410.435,1333.45
2018/4/4,7426.48,1337.3
2018/4/5,6826.51,1327.7
2018/4/6,6603.876667,1331.2
2018/4/7,6634.68,NA
2018/4/8,7017.656667,NA
2018/4/9,6699.273333,1331.95
2018/4/10,6784.41,1338.95
2018/4/11,6926.266667,1350.75
2018/4/12,7847.845,1341.35
2018/4/13,7941.46,1343.7
2018/4/14,8036.511051,NA
2018/4/15,8340.748333,NA
2018/4/16,8368.1,1349.35
2018/4/17,7895.416926,1342.1
2018/4/18,8164.937426,1351.45
2018/4/19,8175.96,1348.6
2018/4/20,8852.718333,1336.75
2018/4/21,8807.205,NA
2018/4/22,8930.6,NA
2018/4/23,8933.861667,1324.3
2018/4/24,9555.542,1328.85
2018/4/25,9658.11,1321.65
2018/4/26,9258.398333,1320.7
2018/4/27,9010.32,1321.5
2018/4/28,8928.55,NA
2018/4/29,9334.281667,NA
2018/4/30,9259.57,1313.2
2018/5/1,9239.55,1307.1
2018/5/2,9221.426,1304.2
2018/5/3,9639.268333,1315.05
2018/5/4,9753.35,1309.4
2018/5/5,9803.306667,NA
2018/5/6,9630.136277,NA
2018/5/7,9631.44,NA
2018/5/8,9228.608333,1306.6
2018/5/9,9322.041667,1313.85
2018/5/10,9310.37,1318.8
2018/5/11,8468.788,1324.35
2018/5/12,8484.346667,NA
2018/5/13,8463.52,NA
2018/5/14,8652.038333,1319.85
2018/5/15,8511.458,1295
2018/5/16,8471.06,1291.25
2018/5/17,8106.118333,1289.5
2018/5/18,8240.055,1288.3
2018/5/19,8239.08,NA
2018/5/20,8507.406667,NA
2018/5/21,8385.556187,1288.35
2018/5/22,8396.63,1293.05
2018/5/23,7555.74,1289
2018/5/24,7566.193333,1304.85
2018/5/25,7576.78,1303.5
2018/5/26,7342.908333,NA
2018/5/27,7361.831667,NA
2018/5/28,7344.56,NA
2018/5/29,7459.876667,1295.5
2018/5/30,7385.395,1300.7
2018/5/31,7386.72,1305.35
2018/6/1,7535.146667,1294.6
2018/6/2,7645.146667,NA
2018/6/3,7637.14,NA
2018/6/4,7500.273333,1295.45
2018/6/5,7615.722142,1292.05
2018/6/6,7619.43,1300.1
2018/6/7,7676.271667,1297.25
2018/6/8,7620.153333,1298.25
2018/6/9,7615.54,NA
2018/6/10,6776.888333,NA
2018/6/11,6875.678333,1299.6
2018/6/12,6879.31,1298.65
2018/6/13,6315.7,1296.15
2018/6/14,6647.013333,1302.75
2018/6/15,6637.41,1285.25
2018/6/16,6509.426667,NA
2018/6/17,6464.411667,NA
2018/6/18,6445.79,1281.55
2018/6/19,6737,1276.15
2018/6/20,6714.718333,1274.2
2018/6/21,6760.83,1266.15
2018/6/22,6332.573333,1269.15
2018/6/23,6141.605833,NA
2018/6/24,6170.46,NA
2018/6/25,6211.4475,1268.7
2018/6/26,6218.595,1260.3
2018/6/27,6097.46,1254.6
2018/6/28,6107.896154,1251.55
2018/6/29,5908.7025,1250.45
2018/6/30,6223.28,NA
2018/7/1,6374.754167,NA
2018/7/2,6466.069167,1247.8
2018/7/3,6626.44,1251.75
2018/7/4,6593.289167,1255.65
2018/7/5,6603.376667,1255.5
2018/7/6,6555.51,1255.35
2018/7/7,6594.281667,NA
2018/7/8,6753.559167,NA
2018/7/9,6724.04,1262.05
2018/7/10,6510.791667,1254
2018/7/11,6377.363333,1251.4
2018/7/12,6403.18,1245.9
2018/7/13,6244.3575,1241.7
2018/7/14,6241,NA
2018/7/15,6248.84,NA
2018/7/16,6514.390833,1241.1
2018/7/17,6869.910833,1232.8
2018/7/18,7321.62,1224.5
2018/7/19,7396.401667,1217.55
2018/7/20,7428.045,1228.75
2018/7/21,7334.99,NA
2018/7/22,7451.289167,NA
2018/7/23,7689.884167,1224.95
2018/7/24,7715.1,1228.35
2018/7/25,8251.165,1231.5
2018/7/26,8187.324167,1228.25
2018/7/27,7939.81,1223.95
2018/7/28,8182.251667,NA
2018/7/29,8206.341667,NA
2018/7/30,8220.91,1223.8
2018/7/31,7916.800833,1220.95
2018/8/1,7570.869167,1219
2018/8/2,7607.7,1215.45
2018/8/3,7394.499167,1216.3
2018/8/4,7247.769167,NA
2018/8/5,7011.28,NA
2018/8/6,6988.079167,1209.65
2018/8/7,6993.513333,1212.35
2018/8/8,6718.23,1209.55
2018/8/9,6396.7725,1214.35
2018/8/10,6396.494667,1214.4
2018/8/11,6138.96,NA
2018/8/12,6311.131667,NA
2018/8/13,6347.07,1200.35
2018/8/14,6252.13,1197
2018/8/15,6362.676923,1182
2018/8/16,6342.629231,1180.4
2018/8/17,6312.75,1178.4
2018/8/18,6436.720833,NA
2018/8/19,6404.063333,NA
2018/8/20,6486.58,1184.35
2018/8/21,6401.246154,1190.95
2018/8/22,6575.229167,1196.65
2018/8/23,6354.57,1192.35
2018/8/24,6543.645714,1197.7
2018/8/25,6719.429231,NA
2018/8/26,6738.27,NA
2018/8/27,6719.266154,NA
2018/8/28,7000.04,1212.25
2018/8/29,7078.19,1204.2
2018/8/30,6932.6625,1197.3
2018/8/31,6981.946154,1202.45
2018/9/1,7018.78,NA
2018/9/2,7247.935385,NA
2018/9/3,7260.949231,1200.05
2018/9/4,7265.08,1190.85
2018/9/5,7113.069231,1196.7
2018/9/6,6433.271667,1205.15
2018/9/7,6501.19,1198.9
2018/9/8,6366.1075,NA
2018/9/9,6286.425833,NA
2018/9/10,6240.98,1196.6
2018/9/11,6296.320833,1189.85
2018/9/12,6273.1375,1195.6
2018/9/13,6326.04,1209.8
2018/9/14,6499.0625,1201.95
2018/9/15,6518.655,NA
2018/9/16,6522.39,NA
2018/9/17,6400.600833,1201.9
2018/9/18,6296.631667,1200.2
2018/9/19,6342.39,1203.3
2018/9/20,6418.562667,1208.35
2018/9/21,6669.990833,1198.7
2018/9/22,6756.12,NA
2018/9/23,6710.445,NA
2018/9/24,6639.304167,1202.75
2018/9/25,6583.45,1201.9
2018/9/26,6468.631667,1194.25
2018/9/27,6535.476667,1185.4
2018/9/28,6686.08,1187.25
2018/9/29,6550.474167,NA
2018/9/30,6593.135,NA
2018/10/1,6611.02,1189.35
2018/10/2,6562.641667,1204.7
2018/10/3,6470.4025,1201.2
2018/10/4,6483.73,1203.45
2018/10/5,6568.549167,1203.8
2018/10/6,6581.486667,NA
2018/10/7,6573.62,NA
2018/10/8,6618.567692,1186.95
2018/10/9,6621.711667,1185.55
2018/10/10,6626.85,1188.6
2018/10/11,6248.635833,1205.55
2018/10/12,6260.530833,1219.75
2018/10/13,6247,NA
2018/10/14,6299.399167,NA
2018/10/15,6452.571667,1229.95
2018/10/16,6599.17,1230.7
2018/10/17,6596.276154,1229.05
2018/10/18,6568.040769,1223
2018/10/19,6509.61,1227.85
2018/10/20,6488.825833,NA
2018/10/21,6531.601667,NA
2018/10/22,6504.78,1222.3
2018/10/23,6481.426,1235.95
2018/10/24,6508.31,1230.55
2018/10/25,6489.77,1230.8
2018/10/26,6473.753333,1233.85
2018/10/27,6465.9175,NA
2018/10/28,6457.21,NA
2018/10/29,6382.668333,1230.8
2018/10/30,6309.452857,1225.4
2018/10/31,6301.61,1214.95
2018/11/1,6342.280833,1231.15
2018/11/2,6387.674167,1232.1
2018/11/3,6390.42,NA
2018/11/4,6391.873333,NA
2018/11/5,6436.965,1232.25
2018/11/6,6437.76,1231.6
2018/11/7,6538.79,1229.95
2018/11/8,6486.251667,1224.15
2018/11/9,6444.97,1211.4
2018/11/10,6399.033333,NA
2018/11/11,6378.268333,NA
2018/11/12,6408.53,1205.55
2018/11/13,6372.063333,1202.1
2018/11/14,6176.155,1203.25
2018/11/15,5756.77,1211.85
2018/11/16,5596.1925,1222.4
2018/11/17,5558.243333,NA
2018/11/18,5572.44,NA
2018/11/19,5303.9425,1221.6
2018/11/20,4671.97,1223
2018/11/21,4491.98,1226.1
2018/11/22,4548.7975,1227.05
2018/11/23,4309.3375,1223.65
2018/11/24,4352.98,NA
2018/11/25,3823.511667,NA
2018/11/26,3920.536667,1223.4
2018/11/27,3793.35,1221.2
2018/11/28,4103.453846,1213.25
2018/11/29,4263.783333,1226.25
2018/11/30,4278.77,1217.55
2018/12/1,4116.7775,NA
2018/12/2,4167.546667,NA
2018/12/3,4140.6,1230.3
2018/12/4,3961.493333,1240.3
2018/12/5,3858.349167,1235.9
2018/12/6,3744.98,1242.55
2018/12/7,3405.643333,1243.3
2018/12/8,3435.34,NA
2018/12/9,3453.66,NA
2018/12/10,3523.96,1245.35
2018/12/11,3426.19,1245.3
2018/12/12,3407.28,1245.75
2018/12/13,3406.7625,1242.75
2018/12/14,3278.374167,1235.35
2018/12/15,3242.42,NA
2018/12/16,3271.238333,NA
2018/12/17,3392.405,1241.65
2018/12/18,3556.54,1246.3
2018/12/19,3808.0425,1255
2018/12/20,3982.850833,1259.75
2018/12/21,4135.19,1258.15
2018/12/22,3910.973333,NA
2018/12/23,4027.478333,NA
2018/12/24,3995.17,NA
2018/12/25,3813.88,NA
2018/12/26,3825.379167,NA
2018/12/27,3848.21,1268
2018/12/28,3743.905,1279
2018/12/29,3912.285833,NA
2018/12/30,3770.36,NA
2018/12/31,3791.545833,NA
2019/1/1,3752.271667,NA
2019/1/2,3855.88,1282.9
2019/1/3,3865.7975,1290.45
